2400
(-8.000000, -1.000000, -64.000000) (-9.000000, -1.000000, -64.000000) (0.000000, 0.000000) 
(-8.000000, 0.000000, 0.000000) (-9.000000, -1.000000, 0.000000) (0.000000, 0.000000) 
(-9.000000, 0.000000, 0.000000) (-9.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-8.000000, 0.000000, 0.000000) (-9.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-9.000000, 1.000000, 81.000000) (-9.000000, 0.000000, 81.000000) (0.000000, 0.000000) 
(-9.000000, 1.000000, 81.000000) (-9.000000, 0.000000, 81.000000) (0.000000, 0.000000) 
(-8.000000, 0.000000, 0.000000) (-9.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-8.000000, 1.000000, 64.000000) (-9.000000, 0.000000, 64.000000) (0.000000, 0.000000) 
(-9.000000, 1.000000, 81.000000) (-9.000000, 1.000000, 81.000000) (0.000000, 0.000000) 
(-8.000000, 1.000000, 64.000000) (-9.000000, 1.000000, 64.000000) (0.000000, 0.000000) 
(-9.000000, 2.000000, 162.000000) (-9.000000, 1.000000, 162.000000) (0.000000, 0.000000) 
(-9.000000, 2.000000, 162.000000) (-9.000000, 1.000000, 162.000000) (0.000000, 0.000000) 
(-8.000000, 1.000000, 64.000000) (-9.000000, 1.000000, 64.000000) (0.000000, 0.000000) 
(-8.000000, 2.000000, 128.000000) (-9.000000, 1.000000, 128.000000) (0.000000, 0.000000) 
(-9.000000, 2.000000, 162.000000) (-9.000000, 2.000000, 162.000000) (0.000000, 0.000000) 
(-8.000000, 2.000000, 128.000000) (-9.000000, 2.000000, 128.000000) (0.000000, 0.000000) 
(-9.000000, 3.000000, 243.000000) (-9.000000, 2.000000, 243.000000) (0.000000, 0.000000) 
(-9.000000, 3.000000, 243.000000) (-9.000000, 2.000000, 243.000000) (0.000000, 0.000000) 
(-8.000000, 2.000000, 128.000000) (-9.000000, 2.000000, 128.000000) (0.000000, 0.000000) 
(-8.000000, 3.000000, 192.000000) (-9.000000, 2.000000, 192.000000) (0.000000, 0.000000) 
(-9.000000, 3.000000, 243.000000) (-9.000000, 3.000000, 243.000000) (0.000000, 0.000000) 
(-8.000000, 3.000000, 192.000000) (-9.000000, 3.000000, 192.000000) (0.000000, 0.000000) 
(-9.000000, 4.000000, 324.000000) (-9.000000, 3.000000, 324.000000) (0.000000, 0.000000) 
(-9.000000, 4.000000, 324.000000) (-9.000000, 3.000000, 324.000000) (0.000000, 0.000000) 
(-8.000000, 3.000000, 192.000000) (-9.000000, 3.000000, 192.000000) (0.000000, 0.000000) 
(-8.000000, 4.000000, 256.000000) (-9.000000, 3.000000, 256.000000) (0.000000, 0.000000) 
(-9.000000, 4.000000, 324.000000) (-9.000000, 4.000000, 324.000000) (0.000000, 0.000000) 
(-8.000000, 4.000000, 256.000000) (-9.000000, 4.000000, 256.000000) (0.000000, 0.000000) 
(-9.000000, 5.000000, 405.000000) (-9.000000, 4.000000, 405.000000) (0.000000, 0.000000) 
(-9.000000, 5.000000, 405.000000) (-9.000000, 4.000000, 405.000000) (0.000000, 0.000000) 
(-8.000000, 4.000000, 256.000000) (-9.000000, 4.000000, 256.000000) (0.000000, 0.000000) 
(-8.000000, 5.000000, 320.000000) (-9.000000, 4.000000, 320.000000) (0.000000, 0.000000) 
(-9.000000, 5.000000, 405.000000) (-9.000000, 5.000000, 405.000000) (0.000000, 0.000000) 
(-8.000000, 5.000000, 320.000000) (-9.000000, 5.000000, 320.000000) (0.000000, 0.000000) 
(-9.000000, 6.000000, 486.000000) (-9.000000, 5.000000, 486.000000) (0.000000, 0.000000) 
(-9.000000, 6.000000, 486.000000) (-9.000000, 5.000000, 486.000000) (0.000000, 0.000000) 
(-8.000000, 5.000000, 320.000000) (-9.000000, 5.000000, 320.000000) (0.000000, 0.000000) 
(-8.000000, 6.000000, 384.000000) (-9.000000, 5.000000, 384.000000) (0.000000, 0.000000) 
(-9.000000, 6.000000, 486.000000) (-9.000000, 6.000000, 486.000000) (0.000000, 0.000000) 
(-8.000000, 6.000000, 384.000000) (-9.000000, 6.000000, 384.000000) (0.000000, 0.000000) 
(-9.000000, 7.000000, 567.000000) (-9.000000, 6.000000, 567.000000) (0.000000, 0.000000) 
(-9.000000, 7.000000, 567.000000) (-9.000000, 6.000000, 567.000000) (0.000000, 0.000000) 
(-8.000000, 6.000000, 384.000000) (-9.000000, 6.000000, 384.000000) (0.000000, 0.000000) 
(-8.000000, 7.000000, 448.000000) (-9.000000, 6.000000, 448.000000) (0.000000, 0.000000) 
(-9.000000, 7.000000, 567.000000) (-9.000000, 7.000000, 567.000000) (0.000000, 0.000000) 
(-8.000000, 7.000000, 448.000000) (-9.000000, 7.000000, 448.000000) (0.000000, 0.000000) 
(-9.000000, 8.000000, 648.000000) (-9.000000, 7.000000, 648.000000) (0.000000, 0.000000) 
(-9.000000, 8.000000, 648.000000) (-9.000000, 7.000000, 648.000000) (0.000000, 0.000000) 
(-8.000000, 7.000000, 448.000000) (-9.000000, 7.000000, 448.000000) (0.000000, 0.000000) 
(-8.000000, 8.000000, 512.000000) (-9.000000, 7.000000, 512.000000) (0.000000, 0.000000) 
(-9.000000, 8.000000, 648.000000) (-9.000000, 8.000000, 648.000000) (0.000000, 0.000000) 
(-8.000000, 8.000000, 512.000000) (-9.000000, 8.000000, 512.000000) (0.000000, 0.000000) 
(-9.000000, 9.000000, 729.000000) (-9.000000, 8.000000, 729.000000) (0.000000, 0.000000) 
(-9.000000, 9.000000, 729.000000) (-9.000000, 8.000000, 729.000000) (0.000000, 0.000000) 
(-8.000000, 8.000000, 512.000000) (-9.000000, 8.000000, 512.000000) (0.000000, 0.000000) 
(-8.000000, 9.000000, 576.000000) (-9.000000, 8.000000, 576.000000) (0.000000, 0.000000) 
(-9.000000, 9.000000, 729.000000) (-9.000000, 9.000000, 729.000000) (0.000000, 0.000000) 
(-8.000000, 9.000000, 576.000000) (-9.000000, 9.000000, 576.000000) (0.000000, 0.000000) 
(-9.000000, 10.000000, 810.000000) (-9.000000, 9.000000, 810.000000) (0.000000, 0.000000) 
(-9.000000, 10.000000, 810.000000) (-9.000000, 9.000000, 810.000000) (0.000000, 0.000000) 
(-8.000000, 9.000000, 576.000000) (-9.000000, 9.000000, 576.000000) (0.000000, 0.000000) 
(-8.000000, 10.000000, 640.000000) (-9.000000, 9.000000, 640.000000) (0.000000, 0.000000) 
(-8.000000, -10.000000, -640.000000) (-8.000000, -10.000000, -640.000000) (0.000000, 0.000000) 
(-7.000000, -10.000000, -490.000000) (-8.000000, -10.000000, -490.000000) (0.000000, 0.000000) 
(-8.000000, -9.000000, -576.000000) (-8.000000, -10.000000, -576.000000) (0.000000, 0.000000) 
(-8.000000, -9.000000, -576.000000) (-8.000000, -10.000000, -576.000000) (0.000000, 0.000000) 
(-7.000000, -10.000000, -490.000000) (-8.000000, -10.000000, -490.000000) (0.000000, 0.000000) 
(-7.000000, -9.000000, -441.000000) (-8.000000, -10.000000, -441.000000) (0.000000, 0.000000) 
